GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
biblioteca-pessoal,br.edu.qualidade.biblioteca.service.exception,BusinessRuleException,0,4,0,0,0,2,0,1,0,1
biblioteca-pessoal,br.edu.qualidade.biblioteca.service.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
biblioteca-pessoal,br.edu.qualidade.biblioteca.web.controller,HomeController,0,15,2,4,0,5,2,3,0,2
biblioteca-pessoal,br.edu.qualidade.biblioteca.web.controller,BookController,156,184,4,4,36,45,8,9,5,8
biblioteca-pessoal,br.edu.qualidade.biblioteca.web.controller,AuthController,14,60,9,5,3,19,7,5,0,5
biblioteca-pessoal,br.edu.qualidade.biblioteca.service,CurrentUserService,5,36,2,4,0,10,3,3,1,2
biblioteca-pessoal,br.edu.qualidade.biblioteca.service,RegistrationService,2,97,4,10,1,24,4,10,0,7
biblioteca-pessoal,br.edu.qualidade.biblioteca.service,BookService,56,161,6,6,16,41,7,13,2,12
biblioteca-pessoal,br.edu.qualidade.biblioteca.domain.valueobject,UserRole,0,15,0,0,0,3,0,1,0,1
biblioteca-pessoal,br.edu.qualidade.biblioteca.domain.valueobject,BookStatus,0,27,0,0,0,5,0,1,0,1
biblioteca-pessoal,br.edu.qualidade.biblioteca.security,SecurityConfig,0,208,0,0,0,51,0,17,0,17
biblioteca-pessoal,br.edu.qualidade.biblioteca.security,MongoLibraryUserDetailsService,8,127,6,6,2,30,6,7,0,7
biblioteca-pessoal,br.edu.qualidade.biblioteca.web.advice,WebExceptionHandler,29,33,0,0,6,7,1,2,1,2
biblioteca-pessoal,br.edu.qualidade.biblioteca.web.advice,GlobalModelAttributes,0,35,0,0,0,11,0,2,0,2
biblioteca-pessoal,br.edu.qualidade.biblioteca.domain.model,Book,5,263,8,24,2,75,9,33,1,25
biblioteca-pessoal,br.edu.qualidade.biblioteca.domain.model,LibraryUser,7,127,4,10,3,38,5,21,1,18
